player_code,Player,player_url
014013,"WATSON, GLYNN",
010781,"LUNDBERG, IFFE",
004132,"THEIS, DANIEL",
014012,"LEAF, TJ",
007982,"WILLIAMS-GOSS, NIGEL",
008192,"TUBELIS, AZUOLAS",
007027,"MALEDON, THEO",
007831,"SHIELDS, SHAVON",
012712,"HERNANGOMEZ, JUANCHO",
004508,"OBST, ANDREAS",
000796,"MIROTIC, NIKOLA",
001926,"SLOUKAS, KOSTAS",
011286,"BACON, DWAYNE",
013403,"WALKER IV, LONNIE",
006760,"BONGA, ISAAC",
011217,"TAYLOR, KAMERON",
014008,"ROBINSON, JUSTIN",
013367,"FORREST, TRENT",
011219,"SORKIN, ROMAN",
004888,"CLYBURN, WILL",
009048,"MILLER-MCINTYRE, CODI",
005928,"CAMPAZZO, FACUNDO",
011226,"DIALLO, ALPHA",
009849,"DORSEY, TYLER",
008987,"LEDAY, ZACH",
011199,"NEBO, JOSH",
014124,"HORTON TUCKER, TALEN",
005791,"TAVARES, WALTER",
009862,"PUNTER, KEVIN",
002100,"DE COLO, NANDO",
010042,"MONTERO, JEAN",
006835,"HOARD, JAYLEN",
014117,"LYLES, TREY",
012080,"LUWAWU-CABARROT, TIMOTHE",
011981,"JONES, TYRIQUE",
012878,"WRIGHT, MOSES",
001133,"SHENGELIA, TORNIKE",
012788,"OTURU, DAN",
012606,"WRIGHT IV, MCKINLEY",
013363,"NWORA, JORDAN",
011194,"PETRUSEV, FILIP",
009863,"BALDWIN IV, WADE",
012796,"KABENGELE, MFIONDU",
012640,"HIFI, NADIR",
012774,"NUNN, KENDRICK",
012201,"MONEKE, CHIMA",
005985,"JAMES, MIKE",
007975,"FRANCISCO, SYLVAIN",
003941,"MILUTINOV, NIKOLA",
009846,"BRYANT, ELIJAH",
003469,"VEZENKOV, SASHA",
